;course;daytime/evening attendance;previous qualification (grade);displaced;tuition fees up to date;scholarship holder;curricular units 1st sem (evaluations);curricular units 1st sem (grade);unemployment rate;inflation rate;gdp;target
702;Ciencias de la Salud;Yes;Superior;Yes;Yes;No;Very Low;Basic;Medium;Low;High;Dropout
703;Ciencias Exactas;No;Basic;Yes;Yes;No;Very Low;Failure;Low;Medium;Medium;Dropout
704;Ciencias Sociales;Yes;Low Failure;No;Yes;No;Low;Basic;Medium;Medium;Medium;Graduate
705;Ciencias Exactas;No;Basic;No;Yes;Yes;Low;Basic;Superior;Low;Low;Dropout
706;Ciencias Sociales;No;Basic;No;Yes;No;Low;Basic;Medium;Medium;Medium;Graduate
707;Ciencias Agrarias;Yes;Basic;No;Yes;No;Medium Low;Satisfactory;Superior;Medium;Very Low;Graduate
708;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Satisfactory;Medium;Medium;Medium;Graduate
709;Ciencias Sociales;No;Basic;No;No;No;Very Low;Failure;High;Low;Medium;Dropout
710;Ciencias Exactas;No;Basic;Yes;Yes;No;Very Low;Failure;Low;Medium;Medium;Dropout
711;Ciencias Exactas;Yes;Low Failure;No;No;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
712;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
713;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;Medium;Medium;Medium;Graduate
714;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;Low;Low;Very Low;Graduate
715;Ciencias Sociales;No;Satisfactory;No;Yes;No;Medium Low;Low Failure;High;High;Low;Graduate
716;Ciencias Agrarias;Yes;Basic;No;Yes;No;Very Low;Failure;Low;Medium;Medium;Dropout
717;Diseno;Yes;Basic;No;No;No;Low;Satisfactory;High;High;Low;Dropout
718;Ciencias Exactas;No;Basic;No;Yes;No;Low;Satisfactory;Low;Low;Very Low;Enrolled
719;Diseno;Yes;Basic;Yes;Yes;No;Medium Low;Basic;High;Low;Medium;Enrolled
720;Ciencias Exactas;Yes;Basic;No;Yes;No;Medium Low;Basic;Superior;Low;Low;Dropout
721;Ciencias Sociales;Yes;Low Failure;No;Yes;No;Low;Basic;Medium;Low;High;Enrolled
722;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Low;Medium;Medium;Graduate
723;Ciencias Sociales;No;Basic;No;No;No;Very Low;Low Failure;Medium;Medium;Medium;Dropout
724;Ciencias Agrarias;Yes;Basic;No;No;No;Low;Failure;Medium;Medium;Medium;Dropout
725;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Satisfactory;High;Low;Medium;Graduate
726;Diseno;Yes;Basic;No;Yes;No;Very Low;Satisfactory;Medium;Low;High;Graduate
727;Ciencias Exactas;No;Basic;No;Yes;No;Very Low;Failure;Medium;Low;High;Dropout
728;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Low;Medium;Medium;Graduate
729;Diseno;Yes;Basic;Yes;Yes;No;Low;Basic;High;Low;Medium;Enrolled
730;Ciencias Sociales;Yes;Basic;No;No;Yes;Low;Basic;High;Low;Medium;Dropout
731;Ciencias Agrarias;Yes;Basic;No;Yes;No;Low;Basic;High;Low;Medium;Graduate
732;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;High;Low;Medium;Graduate
733;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Low Failure;Low;Low;Very Low;Graduate
734;Ciencias Agrarias;Yes;Basic;Yes;Yes;No;Low;Failure;Superior;Low;Low;Dropout
735;Diseno;Yes;Low Failure;Yes;Yes;No;Low;Low Failure;Medium;Low;High;Graduate
736;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Low Failure;High;Low;Medium;Enrolled
737;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Medium Low;Failure;Low;Medium;Medium;Dropout
738;Diseno;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;High;Enrolled
739;Ciencias Sociales;Yes;Satisfactory;Yes;Yes;No;Very Low;Basic;Low;Medium;High;Dropout
740;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;High;Low;Medium;Dropout
741;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Satisfactory;Low;Medium;High;Graduate
742;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Satisfactory;High;Low;Medium;Dropout
743;Ciencias Exactas;No;Basic;No;Yes;No;Low;Low Failure;High;High;Low;Dropout
744;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Low;Very Low;Graduate
745;Ciencias Agrarias;Yes;Basic;Yes;No;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
746;Ciencias Agrarias;Yes;Basic;Yes;No;No;Low;Low Failure;Low;Medium;High;Dropout
747;Ciencias de la Salud;Yes;Low Failure;Yes;Yes;No;Very High;Basic;Superior;Medium;Very Low;Graduate
748;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Low;Medium;Medium;Dropout
749;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Basic;Superior;Low;Low;Graduate
750;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;Low;Low;Very Low;Graduate
751;Diseno;Yes;Basic;Yes;Yes;Yes;Low;Basic;High;High;Low;Graduate
752;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Low;Low;Very Low;Graduate
753;Ciencias Exactas;No;Basic;No;No;No;Very Low;Failure;Medium;Medium;Medium;Dropout
754;Diseno;Yes;Basic;Yes;Yes;Yes;Very Low;Satisfactory;High;Low;Medium;Graduate
755;Diseno;Yes;Basic;Yes;No;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
756;Diseno;Yes;Basic;No;No;No;Very Low;Low Failure;Low;Medium;High;Dropout
757;Ciencias Exactas;No;Basic;Yes;No;No;Medium High;Low Failure;Low;Medium;Medium;Dropout
758;Ciencias Sociales;Yes;Low Failure;Yes;Yes;No;Low;Basic;High;Low;Medium;Graduate
759;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Medium Low;Low Failure;Low;Low;Very Low;Graduate
760;Ciencias Agrarias;Yes;Basic;No;Yes;No;Medium Low;Basic;Superior;Medium;Very Low;Graduate
761;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Superior;Low;Low;Enrolled
762;Ciencias Sociales;No;Low Failure;Yes;Yes;No;Low;Low Failure;Low;Low;Very Low;Graduate
763;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Low Failure;Medium;Low;High;Enrolled
764;Ciencias Sociales;No;Basic;No;Yes;No;Medium Low;Satisfactory;High;Low;Medium;Graduate
765;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Low Failure;High;Low;Medium;Enrolled
766;Ciencias Agrarias;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;Medium;Medium;Medium;Enrolled
767;Ciencias Exactas;No;Basic;No;Yes;No;Low;Basic;High;Low;Medium;Graduate
768;Ciencias Sociales;No;Basic;No;Yes;No;Low;Satisfactory;Low;Medium;High;Graduate
769;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;Medium;Medium;Medium;Graduate
770;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Satisfactory;Medium;Low;High;Graduate
771;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Failure;High;Low;Medium;Dropout
772;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Superior;Medium;Very Low;Enrolled
773;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Low;Very Low;Graduate
774;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Low Failure;High;Low;Medium;Enrolled
775;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Low Failure;High;Low;Medium;Dropout
776;Ciencias de la Salud;Yes;Satisfactory;No;Yes;No;Very Low;Satisfactory;High;Low;Medium;Graduate
777;Diseno;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Medium;High;Dropout
778;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Low Failure;Medium;Low;High;Enrolled
779;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Superior;Low;Low;Graduate
780;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Satisfactory;Low;Medium;High;Graduate
781;Diseno;Yes;Low Failure;Yes;Yes;No;Low;Low Failure;Superior;Medium;Very Low;Dropout
782;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Low;Satisfactory;Superior;Medium;Very Low;Graduate
783;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Low;Very Low;Enrolled
784;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;High;Low;Medium;Graduate
785;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Medium;Low;High;Graduate
786;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Basic;High;High;Low;Graduate
787;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Satisfactory;Medium;Medium;Medium;Graduate
788;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Very Low;Satisfactory;Low;Medium;Medium;Dropout
789;Diseno;Yes;Basic;Yes;Yes;Yes;Very Low;Failure;High;High;Low;Graduate
790;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Basic;Medium;Low;High;Graduate
791;Ciencias de la Salud;Yes;Basic;No;No;No;Low;Low Failure;Superior;Medium;Very Low;Dropout
792;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Low Failure;Medium;Low;High;Graduate
793;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;Low;Medium;High;Graduate
794;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Basic;High;Low;Medium;Graduate
795;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Satisfactory;Low;Medium;High;Graduate
796;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
797;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Medium;Low;High;Graduate
798;Ciencias Agrarias;Yes;Basic;Yes;Yes;Yes;Low;Basic;Low;Medium;High;Graduate
799;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Medium;Medium;Medium;Enrolled
800;Diseno;Yes;Basic;Yes;No;Yes;Low;Low Failure;Low;Medium;High;Enrolled
801;Ciencias Sociales;Yes;Basic;Yes;No;No;Very Low;Failure;Medium;Low;High;Dropout
802;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;High;Graduate
803;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;Medium;Low;High;Graduate
804;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Basic;Medium;Low;High;Graduate
805;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Low Failure;Medium;Low;High;Enrolled
806;Diseno;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Superior;Low;Low;Graduate
807;Ciencias Agrarias;Yes;Basic;No;No;No;Low;Basic;Medium;Low;High;Enrolled
808;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Failure;Low;Medium;High;Dropout
809;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;High;Low;Medium;Enrolled
810;Ciencias Sociales;Yes;Low Failure;Yes;No;Yes;Very Low;Failure;High;Low;Medium;Dropout
811;Ciencias Sociales;Yes;Low Failure;Yes;Yes;Yes;Low;Basic;Medium;Low;High;Graduate
812;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Very Low;Satisfactory;Medium;Low;High;Graduate
813;Ciencias de la Salud;Yes;Satisfactory;No;Yes;No;Very Low;Satisfactory;Medium;Low;High;Graduate
814;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Satisfactory;Medium;Low;High;Graduate
815;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Basic;Medium;Low;High;Enrolled
816;Diseno;Yes;Basic;No;Yes;No;Very Low;Basic;Medium;Medium;Medium;Enrolled
817;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;High;Low;Medium;Graduate
818;Ciencias de la Salud;Yes;Basic;Yes;No;Yes;Very Low;Basic;Medium;Low;High;Enrolled
819;Ciencias Sociales;No;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
820;Ciencias Exactas;Yes;Basic;Yes;Yes;Yes;Low;Low Failure;High;Low;Medium;Graduate
821;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;High;Low;Medium;Graduate
822;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Satisfactory;High;Low;Medium;Enrolled
823;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;High;Low;Medium;Graduate
824;Ciencias Sociales;Yes;Low Failure;Yes;Yes;Yes;Very Low;Basic;Medium;Low;High;Graduate
825;Diseno;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Medium;High;Graduate
826;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Medium;Low;High;Dropout
827;Diseno;Yes;Basic;Yes;Yes;Yes;Very Low;Satisfactory;Medium;Low;High;Graduate
828;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Satisfactory;Low;Low;Very Low;Graduate
829;Diseno;Yes;Basic;No;Yes;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
830;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;High;Low;Medium;Dropout
831;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Failure;Low;Medium;Medium;Dropout
832;Ciencias Agrarias;Yes;Basic;No;Yes;No;Low;Basic;Medium;Medium;Medium;Enrolled
833;Ciencias Agrarias;Yes;Basic;No;Yes;No;Low;Low Failure;Superior;Low;Low;Dropout
834;Ciencias Exactas;Yes;Low Failure;Yes;Yes;No;Very Low;Failure;Low;Medium;Medium;Dropout
835;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;High;Enrolled
836;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Medium;High;Dropout
837;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Medium;High;Enrolled
838;Ciencias Agrarias;Yes;Basic;No;No;No;Very Low;Failure;High;High;Low;Dropout
839;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Low;Very Low;Graduate
840;Ciencias Exactas;Yes;Low Failure;No;No;No;Low;Failure;Low;Medium;High;Dropout
841;Ciencias Exactas;Yes;Low Failure;No;No;No;Low;Low Failure;Low;Medium;High;Enrolled
842;Ciencias Agrarias;Yes;Basic;No;No;No;Low;Failure;Low;Low;Very Low;Dropout
843;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;Low;Medium;Medium;Graduate
844;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Low;Very Low;Graduate
845;Diseno;Yes;Low Failure;Yes;No;Yes;Very Low;Failure;Low;Low;Very Low;Dropout
846;Ciencias Exactas;No;Satisfactory;No;Yes;No;Low;Low Failure;High;Low;Medium;Graduate
847;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Low Failure;Medium;Low;High;Graduate
848;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Satisfactory;Medium;Medium;Medium;Enrolled
849;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Very Low;Basic;Medium;Low;High;Graduate
850;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Superior;Medium;Very Low;Graduate
851;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;High;High;Low;Enrolled
852;Ciencias Sociales;Yes;Satisfactory;Yes;Yes;Yes;Very Low;Basic;Medium;Medium;Medium;Graduate
853;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Low;Basic;High;High;Low;Graduate
854;Ciencias Exactas;Yes;Basic;Yes;No;No;Low;Failure;Low;Low;Very Low;Enrolled
855;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;Superior;Low;Low;Dropout
856;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Medium;Medium;Medium;Dropout
857;Ciencias Agrarias;Yes;Basic;No;Yes;No;Very Low;Failure;Medium;Low;High;Dropout
858;Ciencias Exactas;Yes;Low Failure;Yes;Yes;No;Very Low;Failure;Low;Medium;Medium;Dropout
859;Ciencias Sociales;Yes;Low Failure;No;Yes;No;Low;Low Failure;Low;Medium;Medium;Dropout
860;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Very Low;Basic;High;Low;Medium;Dropout
861;Ciencias Exactas;Yes;Basic;Yes;No;No;Very Low;Failure;Low;Low;Very Low;Dropout
862;Diseno;Yes;Basic;No;Yes;No;Very Low;Low Failure;High;Low;Medium;Dropout
863;Diseno;Yes;Basic;No;No;No;Very Low;Basic;High;Low;Medium;Dropout
864;Ciencias de la Salud;Yes;Satisfactory;Yes;No;No;Very Low;Basic;High;Low;Medium;Dropout
865;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Very Low;Satisfactory;High;Low;Medium;Graduate
866;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Failure;Medium;Medium;Medium;Dropout
867;Ciencias Exactas;Yes;Basic;No;Yes;Yes;Very Low;Failure;High;Low;Medium;Dropout
868;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Basic;Superior;Low;Low;Graduate
869;Diseno;Yes;Satisfactory;No;Yes;No;Very Low;Failure;Low;Low;Very Low;Graduate
870;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Basic;Low;Medium;High;Graduate
871;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Superior;Low;Low;Very Low;Dropout
872;Ciencias Exactas;No;Basic;No;Yes;No;Low;Low Failure;Superior;Low;Low;Graduate
873;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Low;Low Failure;Superior;Low;Low;Enrolled
874;Ciencias Agrarias;Yes;Basic;No;Yes;No;Very Low;Satisfactory;Low;Medium;High;Graduate
875;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Low;Satisfactory;Superior;Medium;Very Low;Graduate
876;Diseno;Yes;Basic;No;Yes;Yes;Low;Low Failure;Superior;Medium;Very Low;Dropout
877;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Very Low;Failure;Superior;Medium;Very Low;Dropout
878;Diseno;Yes;Basic;No;Yes;No;Very Low;Basic;Low;Low;Very Low;Graduate
879;Diseno;Yes;Basic;Yes;Yes;No;Low;Basic;Superior;Low;Low;Dropout
880;Diseno;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;High;Low;Medium;Graduate
881;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Low;Low;Very Low;Graduate
882;Ciencias Agrarias;Yes;Low Failure;No;No;No;Low;Low Failure;Superior;Low;Low;Dropout
883;Ciencias Agrarias;Yes;Basic;No;No;No;Low;Basic;Superior;Low;Low;Dropout
884;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Medium;Medium;Medium;Graduate
885;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Medium;Medium;Graduate
886;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
887;Ciencias Sociales;Yes;Low Failure;Yes;Yes;Yes;Medium Low;Low Failure;Low;Low;Very Low;Graduate
888;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Very Low;Satisfactory;High;Low;Medium;Graduate
889;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Basic;Medium;Medium;Medium;Graduate
890;Ciencias Sociales;Yes;Satisfactory;Yes;Yes;No;Very Low;Basic;Medium;Medium;Medium;Graduate
891;Diseno;Yes;Basic;No;No;No;Very Low;Failure;Superior;Low;Low;Dropout
892;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Satisfactory;High;High;Low;Graduate
893;Ciencias Sociales;No;Basic;No;No;No;Low;Failure;Low;Low;Very Low;Dropout
894;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very High;Low Failure;Superior;Medium;Very Low;Graduate
895;Ciencias Exactas;No;Basic;No;No;No;Low;Low Failure;Superior;Medium;Very Low;Dropout
896;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Basic;Low;Medium;Medium;Graduate
897;Diseno;Yes;Basic;Yes;Yes;Yes;Low;Basic;Superior;Medium;Very Low;Graduate
898;Ciencias Sociales;Yes;Low Failure;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Enrolled
899;Diseno;Yes;Basic;No;Yes;Yes;Very Low;Basic;High;Low;Medium;Graduate
900;Ciencias Exactas;Yes;Low Failure;No;Yes;No;Very Low;Failure;Medium;Medium;Medium;Dropout
901;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Low Failure;Medium;Medium;Medium;Graduate
902;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Low;Very Low;Graduate
903;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Low;Medium;Medium;Graduate
904;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Failure;High;High;Low;Dropout
905;Ciencias de la Salud;Yes;Low Failure;Yes;Yes;Yes;Very Low;Basic;High;Low;Medium;Graduate
906;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Superior;Low;Low;Dropout
907;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Low;Low Failure;High;High;Low;Graduate
908;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Low;Very Low;Enrolled
909;Diseno;Yes;Basic;No;Yes;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
910;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
911;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Basic;Medium;Medium;Medium;Graduate
912;Ciencias Exactas;No;Basic;No;No;No;Very Low;Low Failure;High;High;Low;Dropout
913;Ciencias Sociales;No;Basic;No;Yes;No;Low;Low Failure;Low;Medium;High;Graduate
914;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Failure;High;Low;Medium;Dropout
915;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
916;Ciencias Exactas;No;Basic;Yes;Yes;No;Low;Failure;Low;Medium;Medium;Dropout
917;Ciencias Sociales;No;Basic;Yes;Yes;No;Very Low;Failure;Low;Low;Very Low;Dropout
918;Ciencias Agrarias;Yes;Satisfactory;No;Yes;No;Low;Satisfactory;Superior;Medium;Very Low;Graduate
919;Ciencias Sociales;No;Basic;No;Yes;Yes;Low;Basic;High;Low;Medium;Graduate
920;Ciencias Sociales;No;Basic;No;Yes;Yes;Low;Low Failure;Medium;Medium;Medium;Graduate
921;Ciencias Sociales;No;Basic;No;Yes;Yes;Low;Low Failure;Medium;Medium;Medium;Graduate
922;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Low;Very Low;Dropout
923;Ciencias de la Salud;Yes;Basic;No;No;Yes;Low;Low Failure;Superior;Low;Low;Dropout
924;Ciencias Exactas;No;Basic;No;Yes;No;Low;Failure;High;High;Low;Enrolled
925;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Low;Medium;Medium;Graduate
926;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Medium;Medium;Medium;Dropout
927;Ciencias Sociales;No;Basic;No;Yes;No;Low;Low Failure;High;Low;Medium;Enrolled
928;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Medium Low;Failure;Low;Medium;High;Enrolled
929;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Failure;Low;Medium;Medium;Dropout
930;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Enrolled
931;Ciencias Sociales;Yes;Low Failure;No;Yes;Yes;Low;Basic;High;Low;Medium;Graduate
932;Diseno;Yes;Low Failure;No;Yes;No;Low;Basic;High;Low;Medium;Graduate
933;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Dropout
934;Ciencias de la Salud;Yes;Low Failure;Yes;Yes;No;Low;Low Failure;Medium;Medium;Medium;Enrolled
935;Diseno;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Medium;High;Graduate
936;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Low Failure;High;Low;Medium;Dropout
937;Ciencias Exactas;No;Basic;No;Yes;No;Low;Low Failure;Low;Low;Very Low;Enrolled
938;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;Medium;Enrolled
939;Ciencias Sociales;No;Basic;No;No;No;Low;Low Failure;Low;Low;Very Low;Dropout
940;Ciencias Sociales;Yes;Low Failure;Yes;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
941;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Low;Basic;Superior;Low;Low;Graduate
942;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Failure;Low;Low;Very Low;Enrolled
943;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
944;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Very Low;Satisfactory;High;Low;Medium;Graduate
945;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Medium;Low;High;Graduate
946;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Basic;Superior;Low;Low;Graduate
947;Ciencias Sociales;Yes;Basic;Yes;No;Yes;Low;Failure;Low;Medium;Medium;Dropout
948;Diseno;Yes;Low Failure;No;Yes;No;Low;Low Failure;Low;Medium;Medium;Graduate
949;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
950;Ciencias Exactas;No;Basic;Yes;Yes;No;Very Low;Low Failure;Low;Medium;Medium;Graduate
951;Ciencias Exactas;No;Basic;No;No;No;Low;Failure;High;Low;Medium;Dropout
952;Ciencias Agrarias;Yes;Basic;No;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
953;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Failure;Low;Low;Very Low;Dropout
954;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Dropout
955;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;Medium;Dropout
956;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Low Failure;Superior;Low;Low;Graduate
957;Ciencias Sociales;Yes;Low Failure;Yes;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
958;Ciencias Exactas;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Superior;Low;Low;Graduate
959;Diseno;Yes;Basic;Yes;No;No;Very Low;Failure;Low;Medium;Medium;Dropout
960;Diseno;Yes;Basic;Yes;No;No;Very Low;Low Failure;Low;Medium;Medium;Dropout
961;Ciencias Exactas;Yes;Basic;No;Yes;No;Medium Low;Basic;Low;Low;Very Low;Graduate
962;Ciencias Agrarias;Yes;Basic;No;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
963;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Low Failure;Low;Medium;Medium;Enrolled
